parameter,description,value,lower_bound,upper_bound,distribution,societal,healthcare
p_60,Total U.S. Population Age 60+,82973748,,,,TRUE,TRUE
v_0_p,Percentage of p_60 that represents the vaccinated population for vaccine scenario at time 0,0.164,,,fixed,TRUE,TRUE
i_0_p,Percentage of p_60 that represents the infectious population at time 0,0.000311538,0.000161538,0.000592308,normal,TRUE,TRUE
h_0_p,Percentage of p_60 that represents the hospitalized population at time 0,2.88E-05,1.73E-05,4.23E-05,normal,TRUE,TRUE
kappa_arexvy,Vaccine Breakthrough Rate for Arexvy.,0.211,0.202,0.22,normal,TRUE,TRUE
kappa_abrysvo,Vaccine Breakthrough Rate for Abrysvo.,0.222,0.211,0.233,normal,TRUE,TRUE
psi,Weekly vaccination rate derived from annual rate of 16.2%,0.003115385,,,fixed,TRUE,TRUE
gamma_v,Waning vaccine confered immunity,0.015,,,fixed,TRUE,TRUE
gamma_r,Waning natual immunity,0.015,,,fixed,TRUE,TRUE
sigma,Rate of conversion from exposed to infected,1,,,fixed,TRUE,TRUE
phi,Rate of hospitalization,2.88E-05,1.73E-05,4.23E-05,normal,TRUE,TRUE
tau_2,Recovery Rate from hospitalization,0.904,,,normal,TRUE,TRUE
tau_3,Recovery from sequelae,1,,,normal,TRUE,TRUE
rho,Rate of transition to sequelae state,0.18,0.089,0.327,normal,TRUE,TRUE
mu,Age adjusted weekly underlying mortality for U.S. population >60,0.00139,,,fixed,TRUE,TRUE
delta_m,Mortality rate from mild RSV,0,,,fixed,TRUE,TRUE
delta_s,Mortality rate from severe RSV,0.0713,0.054,0.0936,normal,TRUE,TRUE
delta_sq,Mortality rate from RSV sequelae,0,,,fixed,TRUE,TRUE
u_s_vn,"Unit of utility for Susceptible, vaccine naïve",0.815,0.572,1,beta,TRUE,TRUE
u_v,"Unit of utility for Vaccinated (healthy, protected)",0.815,0.572,1,beta,TRUE,TRUE
u_s_ve,"Unit of utility for Susceptible, vaccine experienced (vaccine failure or waning vaccine confered immunity)",0.815,0.572,1,beta,TRUE,TRUE
u_e,Unit of utility for Exposed,0.815,0.572,1,beta,TRUE,TRUE
u_i,Unit of utility for Infected,0.815,0.572,1,beta,TRUE,TRUE
u_h,Unit of utility for Hospitalized,0.815,0.572,1,beta,TRUE,TRUE
u_sq,Unit of utility for Sequalae,0.08,0.036,0.123,beta,TRUE,TRUE
u_r,Unit of utility for Recovered,0.815,0.572,1,beta,TRUE,TRUE
u_d,"Unit of utility for Death, absorbing",0,,,fixed,TRUE,TRUE
u_adverse_events,Annual utility weight decrement during adverse events (EQ-5D scale),-0.12,-0.24,0,beta,TRUE,TRUE
p_adverse_events,Proportion of vaccinated people who experience an adverse event,0.2,0.16,0.25,normal,TRUE,TRUE
u_disutility_infection,Weekly disutility during acute infection phase,-0.009589041,-0.011506849,-0.007863014,beta,TRUE,TRUE
u_disutility_hospitalization,Weekly disutility during acute hospitalization phase,-0.017,-0.034,0,beta,TRUE,TRUE
duration_adverse_events,Duration of adverse events in weeks,1,,,fixed,TRUE,TRUE
c_abrysvo,Cost of Abrysvo vaccine dose,319,255.2,382.8,gamma,TRUE,TRUE
c_arexvy,Cost of Abrexvy dose,280,224,336,gamma,TRUE,TRUE
c_vac_admin,Cost to administer vaccines,25,19,33,gamma,TRUE,TRUE
c_office,Cost per office visit,126,,,gamma,TRUE,TRUE
c_ed,Cost per ED day,649,,,gamma,TRUE,TRUE
c_hosp,Cost per hospital day,1116,,,gamma,TRUE,TRUE
c_icu_v,Cost per icu day with mechanincal vent,4870,,,gamma,TRUE,TRUE
c_icu,Cost per icu day without mechanical vent,3348,,,gamma,TRUE,TRUE
c_pl,Cost per case of productivity loss,275,,,gamma,TRUE,FALSE
c_care,Cost per case of caregiver time,583,,,gamma,TRUE,FALSE
c_hfr,Cost of household financial risk (middle of distribution),92,83,267,gamma,TRUE,FALSE
c_death,Cost to medicare for patient death (middle of distribution),9067,5268,12866,gamma,TRUE,FALSE
o_infected,Days of infection without medical attention,5,2,8,normal,TRUE,TRUE
o_Infected_ma,Days of infection with medical attention,10,7,14,normal,TRUE,TRUE
o_infected_h,Days of infection to hospitalization,4,2,6.75,normal,TRUE,TRUE
o_los_h,Days of hospitalization without ICU,6.2,1.2258,5.0582,gamma,TRUE,TRUE
o_los_icu,Days in ICU,4.5,,,gamma,TRUE,TRUE
p_discount_yr,Yearly discount percentage,0.03,,,fixed,TRUE,TRUE
attack_rate,Proportion of S_VN population who will contract the disease each week,0.0162,0.0084,0.0308,normal,TRUE,TRUE
